Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Revenue Category,Customer demographics,Stock levels,Stock Status,Lead times,Order quantities,Shipping times,Shipping Efficiency,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates(0-5 scale),Defect rates(0-1 Scale),Defect Flag,Transportation modes,Routes,Costs,Profit Indicator,,
Haircare,SKU0,69.8080055,55,802,8661.9967924,High,Non-Binary,58,Medium Stock,7,96,4,On Time,Carrier B,2.9565721,Supplier 3,Mumbai,29,215,29,46.2798792,Pending,0.226,0.045,Acceptable,Road,Route B,187.7520755,8612.760341,,
Skincare,SKU1,14.8435233,95,736,7460.9000654,High,Female,53,Medium Stock,30,37,2,On Time,Carrier A,9.7165748,Supplier 3,Mumbai,23,517,30,33.6167690,Pending,4.854,0.971,High Defect,Road,Route B,503.0655791,7417.566722,,
Haircare,SKU2,11.3196833,34,8,9577.7496259,High,Unknown,1,Low Stock,10,88,2,On Time,Carrier B,8.0544793,Supplier 1,Mumbai,12,971,27,30.6880193,Pending,4.581,0.916,High Defect,Air,Route C,141.9202818,9539.007127,,
Skincare,SKU3,61.1633430,68,83,7766.8364257,High,Non-Binary,23,Low Stock,13,59,6,On Time,Carrier C,1.7295686,Supplier 5,Kolkata,24,937,18,35.6247414,Fail,4.747,0.949,High Defect,Rail,Route A,254.7761592,7729.482116,,
Skincare,SKU4,4.8054960,26,871,2686.5051516,Medium,Non-Binary,5,Low Stock,3,56,8,Delayed,Carrier A,3.8905479,Supplier 1,Delhi,5,414,3,92.0651606,Fail,3.146,0.629,High Defect,Air,Route A,923.4406317,2590.549443,,
Haircare,SKU5,1.6999760,87,147,2828.3487460,Medium,Non-Binary,90,Medium Stock,27,66,3,On Time,Carrier B,4.4440989,Supplier 4,Bangalore,10,104,17,56.7664756,Fail,2.779,0.556,High Defect,Road,Route A,235.4612367,2767.138172,,
Skincare,SKU6,4.0783329,48,65,7823.4765595,High,Male,11,Low Stock,15,58,8,On Time,Carrier C,3.8807633,Supplier 3,Kolkata,14,314,24,1.0850686,Pending,1.001,0.200,Acceptable,Sea,Route A,134.3690969,7818.510728,,
Cosmetics,SKU7,42.9583844,59,426,8496.1038131,High,Female,93,Medium Stock,17,11,1,On Time,Carrier B,2.3483388,Supplier 4,Bangalore,22,564,1,99.4661086,Fail,0.398,0.080,Acceptable,Road,Route C,802.0563118,8394.289366,,
Cosmetics,SKU8,68.7175967,78,150,7517.3632106,High,Female,5,Low Stock,10,15,7,On Time,Carrier C,3.4047339,Supplier 4,Mumbai,13,769,8,11.4230271,Pending,2.710,0.542,High Defect,Sea,Route B,505.5571342,7502.535450,,
Skincare,SKU9,64.0157329,35,980,4971.1459876,Medium,Unknown,14,Low Stock,27,83,1,On Time,Carrier A,7.1666453,Supplier 2,Chennai,29,963,23,47.9576016,Pending,3.845,0.769,High Defect,Rail,Route B,995.9294615,4916.021741,,
Skincare,SKU10,15.7077957,11,996,2330.9658021,Medium,Non-Binary,51,Medium Stock,13,80,2,On Time,Carrier C,8.6732112,Supplier 5,Kolkata,18,830,5,96.5273528,Pass,1.727,0.345,Acceptable,Road,Route B,806.1031777,2225.765238,,
Skincare,SKU11,90.6354600,95,960,6099.9441156,High,Female,46,Low Stock,23,60,1,On Time,Carrier A,4.5239431,Supplier 2,Kolkata,28,362,11,27.5923631,Pending,0.021,0.004,Acceptable,Air,Route A,126.7230334,6067.827809,,
Haircare,SKU12,71.2133891,41,336,2873.7414460,Medium,Unknown,100,Well Stocked,30,85,4,On Time,Carrier A,1.3252740,Supplier 4,Kolkata,3,563,3,32.3212862,Fail,2.161,0.432,Acceptable,Road,Route B,402.9687891,2840.094886,,
